"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","30 Dec 2005","2823.95","2845.55","2812.75","2836.55"
"NIFTY 50","29 Dec 2005","2792.75","2829.40","2792.75","2821.95"
"NIFTY 50","28 Dec 2005","2806.80","2824.30","2780.00","2794.05"
"NIFTY 50","27 Dec 2005","2746.25","2812.60","2725.70","2805.90"
"NIFTY 50","26 Dec 2005","2804.30","2804.30","2741.80","2749.60"
"NIFTY 50","23 Dec 2005","2835.70","2857.00","2799.70","2804.85"
"NIFTY 50","22 Dec 2005","2826.70","2846.65","2818.65","2835.25"
"NIFTY 50","21 Dec 2005","2826.45","2847.30","2799.45","2822.90"
"NIFTY 50","20 Dec 2005","2843.15","2853.10","2815.20","2826.20"
"NIFTY 50","19 Dec 2005","2808.35","2846.00","2803.45","2842.60"
"NIFTY 50","16 Dec 2005","2778.65","2814.90","2766.50","2810.15"
"NIFTY 50","15 Dec 2005","2805.20","2821.50","2763.35","2778.55"
"NIFTY 50","14 Dec 2005","2812.80","2825.65","2788.30","2804.55"
"NIFTY 50","13 Dec 2005","2776.80","2815.30","2764.65","2812.30"
"NIFTY 50","12 Dec 2005","2756.40","2789.35","2756.40","2776.20"
"NIFTY 50","09 Dec 2005","2706.75","2761.10","2698.00","2756.45"
"NIFTY 50","08 Dec 2005","2694.95","2711.60","2673.50","2706.70"
"NIFTY 50","07 Dec 2005","2662.30","2697.10","2662.30","2693.00"
"NIFTY 50","06 Dec 2005","2661.40","2694.40","2647.35","2662.30"
"NIFTY 50","05 Dec 2005","2697.60","2710.65","2654.35","2660.50"
"NIFTY 50","02 Dec 2005","2699.55","2730.70","2691.50","2697.95"
"NIFTY 50","01 Dec 2005","2651.60","2705.00","2641.95","2698.95"
"NIFTY 50","30 Nov 2005","2698.10","2727.05","2647.10","2652.25"
"NIFTY 50","29 Nov 2005","2712.35","2713.90","2679.90","2698.30"
"NIFTY 50","28 Nov 2005","2683.60","2717.15","2682.65","2712.00"
"NIFTY 50","26 Nov 2005","2664.85","2686.50","2664.70","2683.45"
"NIFTY 50","25 Nov 2005","2635.35","2668.90","2633.75","2664.30"
"NIFTY 50","24 Nov 2005","2608.90","2643.70","2608.70","2635.00"
"NIFTY 50","23 Nov 2005","2572.85","2613.40","2563.10","2608.60"
"NIFTY 50","22 Nov 2005","2603.25","2614.00","2567.05","2572.85"
"NIFTY 50","21 Nov 2005","2620.10","2626.40","2591.75","2602.50"
"NIFTY 50","18 Nov 2005","2604.00","2632.35","2595.15","2620.05"
"NIFTY 50","17 Nov 2005","2558.45","2608.85","2558.45","2603.95"
"NIFTY 50","16 Nov 2005","2559.45","2585.95","2559.45","2582.75"
"NIFTY 50","14 Nov 2005","2548.55","2576.95","2534.40","2558.70"
"NIFTY 50","11 Nov 2005","2500.85","2551.40","2500.85","2548.65"
"NIFTY 50","10 Nov 2005","2489.10","2504.75","2480.85","2500.70"
"NIFTY 50","09 Nov 2005","2493.10","2519.40","2475.70","2489.10"
"NIFTY 50","08 Nov 2005","2463.65","2502.90","2460.00","2492.65"
"NIFTY 50","07 Nov 2005","2419.25","2464.65","2411.60","2461.60"
"NIFTY 50","02 Nov 2005","2386.45","2423.80","2367.75","2419.05"
"NIFTY 50","01 Nov 2005","2366.80","2410.15","2366.80","2386.75"
"NIFTY 50","31 Oct 2005","2314.85","2373.40","2314.20","2370.95"
"NIFTY 50","28 Oct 2005","2352.65","2355.15","2307.45","2316.05"
